athlete_id,division_id,division_name,target_percentile,overall_rank,performance_percentile,window_start_rank,window_end_rank,http_status,fetch_source,benchmark_stat_count,parsed_at
2267118,1,Men,85,19053,85.0116,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
887905,1,Men,85,19054,85.0109,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
1218631,1,Men,85,19055,85.0101,19051,19081,200,cache,5,2026-07-12T18:12:56.197977+00:00
1700319,1,Men,85,19056,85.0093,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2234400,1,Men,85,19057,85.0085,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2921370,1,Men,85,19058,85.0077,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2918859,1,Men,85,19059,85.0069,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2392642,1,Men,85,19060,85.0061,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2955583,1,Men,85,19061,85.0053,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
1790082,1,Men,85,19062,85.0046,19051,19081,200,cache,1,2026-07-12T18:12:56.197977+00:00
2985422,1,Men,85,19064,85.0030,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2187625,1,Men,85,19065,85.0022,19051,19081,200,cache,6,2026-07-12T18:12:56.197977+00:00
2624967,1,Men,85,19066,85.0014,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2195988,1,Men,85,19068,84.9998,19051,19081,200,cache,5,2026-07-12T18:12:56.197977+00:00
1269977,1,Men,85,19069,84.9991,19051,19081,200,cache,5,2026-07-12T18:12:56.197977+00:00
2240512,1,Men,85,19070,84.9983,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2638182,1,Men,85,19072,84.9967,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
714716,1,Men,85,19073,84.9959,19051,19081,200,cache,1,2026-07-12T18:12:56.197977+00:00
2783531,1,Men,85,19074,84.9951,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
1329702,1,Men,85,19075,84.9943,19051,19081,200,cache,2,2026-07-12T18:12:56.197977+00:00
2608743,1,Men,85,19076,84.9935,19051,19081,200,cache,13,2026-07-12T18:12:56.197977+00:00
232669,1,Men,85,19077,84.9928,19051,19081,200,cache,12,2026-07-12T18:12:56.197977+00:00
2380604,1,Men,85,19078,84.9920,19051,19081,200,cache,6,2026-07-12T18:12:56.197977+00:00
2155262,1,Men,85,19079,84.9912,19051,19081,200,cache,10,2026-07-12T18:12:56.197977+00:00
2822159,1,Men,85,19080,84.9904,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
1816280,1,Men,90,12697,90.0120,12697,12727,200,cache,21,2026-07-12T18:12:56.197977+00:00
2662024,1,Men,90,12699,90.0104,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
743607,1,Men,90,12700,90.0096,12697,12727,200,cache,8,2026-07-12T18:12:56.197977+00:00
1226178,1,Men,90,12701,90.0088,12697,12727,200,cache,10,2026-07-12T18:12:56.197977+00:00
1828961,1,Men,90,12702,90.0080,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
2102982,1,Men,90,12703,90.0072,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
2004645,1,Men,90,12704,90.0065,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
2226784,1,Men,90,12706,90.0049,12697,12727,200,cache,3,2026-07-12T18:12:56.197977+00:00
279805,1,Men,90,12707,90.0041,12697,12727,200,cache,8,2026-07-12T18:12:56.197977+00:00
2118950,1,Men,90,12708,90.0033,12697,12727,200,cache,1,2026-07-12T18:12:56.197977+00:00
2287789,1,Men,90,12709,90.0025,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
1028208,1,Men,90,12710,90.0017,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
316733,1,Men,90,12712,90.0002,12697,12727,200,cache,15,2026-07-12T18:12:56.197977+00:00
2683195,1,Men,90,12713,89.9994,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
2183814,1,Men,90,12714,89.9986,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
1260646,1,Men,90,12715,89.9978,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
308493,1,Men,90,12717,89.9962,12697,12727,200,cache,7,2026-07-12T18:12:56.197977+00:00
1320511,1,Men,90,12718,89.9954,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
501728,1,Men,90,12719,89.9947,12697,12727,200,cache,7,2026-07-12T18:12:56.197977+00:00
1616264,1,Men,90,12720,89.9939,12697,12727,200,cache,19,2026-07-12T18:12:56.197977+00:00
1790977,1,Men,90,12721,89.9931,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
2221019,1,Men,90,12722,89.9923,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
1001751,1,Men,90,12723,89.9915,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
2744805,1,Men,90,12724,89.9907,12697,12727,200,cache,1,2026-07-12T18:12:56.197977+00:00
2803188,1,Men,90,12725,89.9899,12697,12727,200,cache,0,2026-07-12T18:12:56.197977+00:00
2617899,1,Men,90,12727,89.9884,12697,12727,200,cache,15,2026-07-12T18:12:56.197977+00:00
2218516,1,Men,95,6341,95.0123,6341,6371,200,cache,7,2026-07-12T18:12:56.197977+00:00
1244548,1,Men,95,6342,95.0115,6341,6371,200,cache,4,2026-07-12T18:12:56.197977+00:00
2183848,1,Men,95,6343,95.0107,6341,6371,200,cache,9,2026-07-12T18:12:56.197977+00:00
2231278,1,Men,95,6344,95.0099,6341,6371,200,cache,0,2026-07-12T18:12:56.197977+00:00
1225663,1,Men,95,6345,95.0091,6341,6371,200,cache,10,2026-07-12T18:12:56.197977+00:00
2657637,1,Men,95,6346,95.0083,6341,6371,200,cache,10,2026-07-12T18:12:56.197977+00:00
2156322,1,Men,95,6347,95.0076,6341,6371,200,cache,4,2026-07-12T18:12:56.197977+00:00
710327,1,Men,95,6348,95.0068,6341,6371,200,cache,10,2026-07-12T18:12:56.197977+00:00
1911128,1,Men,95,6349,95.0060,6341,6371,200,cache,1,2026-07-12T18:12:56.197977+00:00
1535120,1,Men,95,6350,95.0052,6341,6371,200,cache,21,2026-07-12T18:12:56.197977+00:00
2085139,1,Men,95,6351,95.0044,6341,6371,200,cache,4,2026-07-12T18:12:56.197977+00:00
